Samples	both_kept	dropped	false	fwd_only	input	rev_only	true
s251.STL.V05_4mo	8799856	92017	8795435	65472	8969544	12199	4421
sNA.MockDNA.1	741758	3099	741415	6364	752349	1128	343
s207.STL.V01_1.4d	5925078	34930	5901610	40805	6010118	9305	23468
s230.STL.V05_4mo	2841438	10245	2840627	22757	2878773	4333	811
s188.STL.V05_4mo	4553123	68297	4550547	46698	4674345	6227	2576
s157.STL.V01_1.4d	8750144	39884	8734918	65809	8871973	16136	15226
s147.STL.V05_4mo	9793515	82079	9778673	83328	9973949	15027	14842
s224.STL.V02_1mo	5065524	15024	5064470	61136	5149287	7603	1054
s128.STL.V05_4mo	5758917	96200	5675956	35015	5897253	7121	82961
s237.STL.V02_1mo	5072025	24813	5070521	35601	5138563	6124	1504
s124.STL.V01_1.4d	3311182	42793	14903	17858	3374666	2833	3296279
s184.STL.V01_1.4d	12428712	137059	11820686	90952	12672233	15510	608026
s127.STL.V02_1mo	3714220	24248	3713002	36446	3782166	7252	1218
s165.STL.V02_1mo	11189339	46756	11163382	108612	11365128	20421	25957
s275.STL.V05_4mo	5169176	50268	5167604	32848	5259056	6764	1572
s251.STL.V02_1mo	5637128	23840	5631922	57281	5728256	10007	5206
s125.STL.V05_4mo	12007029	82037	12001043	102541	12208226	16619	5986
s101.STL.V01_1.4d	8990582	39875	8917832	78813	9122983	13713	72750
s272.STL.V02_1mo	2582058	13465	2579995	15083	2613554	2948	2063
s184.STL.V02_1mo	11390396	55234	11385542	109249	11575458	20579	4854
s229.STL.V01_1.4d	11991150	187900	55009	66882	12256306	10374	11936141
s142.STL.V01_1.4d	4894304	25456	17062	31377	4955123	3986	4877242
s180.STL.V02_1mo	5069490	27750	5066883	49843	5157888	10805	2607
s285.STL.V05_4mo	6645664	45002	6644299	60899	6763308	11743	1365
s192.STL.V01_1.4d	1165973	28522	190273	7197	1202978	1286	975700
s169.STL.V05_4mo	4299329	11700	4298123	49029	4366493	6435	1206
s130.STL.V02_1mo	7270578	77348	7268671	61775	7423367	13666	1907
s263.STL.V02_1mo	8221656	24810	8219834	53739	8310577	10372	1822
sNA.NegativeControl.8	13262	657	10498	344	14314	51	2764
s230.STL.V02_1mo	6460429	43958	6458005	54632	6569863	10844	2424
s295.STL.V05_4mo	8300043	58568	8295951	69320	8442633	14702	4092
s187.STL.V05_4mo	10924071	161281	10911898	71887	11171284	14045	12173
sNA.DiaperBlank.NA	251916	4102	243138	3652	260413	743	8778
s158.STL.V01_1.4d	3847675	58985	21909	20999	3930801	3142	3825766
s193.STL.V02_1mo	15461673	296199	15454873	114217	15895369	23280	6800
s211.STL.V01_1.4d	9812203	179039	5246823	53981	10054356	9133	4565380
s261.STL.V01_1.4d	4350729	121780	43581	21040	4497204	3655	4307148
s145.STL.V02_1mo	1417252	7725	1324050	15342	1443348	3029	93202
s127.STL.V05_4mo	6648901	47758	6357893	58629	6764174	8886	291008
s130.STL.V01_1.4d	9562722	159255	42345	63569	9793338	7792	9520377
s104.STL.V02_1mo	6764420	42776	5805936	31926	6844771	5649	958484
s291.STL.V01_1.4d	4119816	74385	31851	21739	4219166	3226	4087965
s283.STL.V05_4mo	5279521	44843	5174610	43021	5377958	10573	104911
s314.STL.V02_1mo	6128815	49704	5998073	63620	6254598	12459	130742
s192.STL.V02_1mo	8847968	55580	8843922	58617	8970636	8471	4046
s307.STL.V05_4mo	4851261	40968	4848707	35963	4933666	5474	2554
s302.STL.V02_1mo	352720	1577	336114	2649	357377	431	16606
s189.STL.V01_1.4d	3373994	77806	31278	17074	3471630	2756	3342716
s331.STL.V05_4mo	7823623	49882	7821626	57119	7942540	11916	1997
s241.STL.V01_1.4d	4404861	63226	584849	21858	4493713	3768	3820012
s142.STL.V02_1mo	7526413	75515	7522547	52248	7664013	9837	3866
sNA.NegativeControl.4	186705	3991	182164	2748	194043	599	4541
s186.STL.V02_1mo	6483310	40151	6482215	67882	6607450	16107	1095
s172.STL.V02_1mo	10915201	141862	10909328	88010	11161816	16743	5873
s101.STL.V02_1mo	6420363	36283	6167937	47429	6512154	8079	252426
s285.STL.V01_1.4d	1632130	6163	1629811	16158	1657829	3378	2319
s241.STL.V02_1mo	3842916	30911	3803998	23483	3902520	5210	38918
s211.STL.V05_4mo	15723518	124323	15710427	105083	15979330	26406	13091
s105.STL.V05_4mo	5682838	46393	5681041	56813	5799339	13295	1797
s145.STL.V05_4mo	6450357	77980	6447628	55466	6594332	10529	2729
s275.STL.V02_1mo	12755854	34505	12754855	159994	12976293	25940	999
sNA.MockDNA.8	19819207	81633	19646500	170111	20096655	25704	172707
s309.STL.V02_1mo	5718383	37059	5715210	41719	5805310	8149	3173
s250.STL.V05_4mo	7819522	45235	6549003	81297	7961315	15261	1270519
s327.STL.V05_4mo	9434886	58166	9418026	85171	9598546	20323	16860
s322.STL.V02_1mo	5362232	27490	4405469	38876	5435521	6923	956763
s245.STL.V01_1.4d	6228826	93672	39728	32247	6359972	5227	6189098
s298.STL.V01_1.4d	10261469	67493	10158554	38729	10375240	7549	102915
s265.STL.V05_4mo	6891726	49115	6890038	38092	6986536	7603	1688
s314.STL.V05_4mo	13170838	112250	13144938	101135	13405307	21084	25900
s257.STL.V05_4mo	6434570	49549	6431445	34903	6525854	6832	3125
s319.STL.V01_1.4d	14626591	148702	11902425	73703	14859896	10900	2724166
s267.STL.V02_1mo	8077260	36656	8076268	65865	8192640	12859	992
s267.STL.V01_1.4d	12790997	197189	107740	68579	13066738	9973	12683257
s206.STL.V05_4mo	7663897	62506	7660886	59180	7795963	10380	3011
sNA.EnvironmentalBlank.2	4054793	47549	4018864	33089	4143736	8305	35929
s319.STL.V05_4mo	2893650	20391	2890678	18242	2936149	3866	2972
s305.STL.V02_1mo	5339595	32612	470883	34249	5412049	5593	4868712
s165.STL.V01_1.4d	1077554	18809	11797	5689	1103014	962	1065757
s165.STL.V05_4mo	6905757	40962	6903731	58301	7017196	12176	2026
s288.STL.V01_1.4d	401988	6739	62611	2052	411129	350	339377
s287.STL.V01_1.4d	4513606	45811	17880	24030	4587035	3588	4495726
s153.STL.V02_1mo	9581302	49302	9577753	54971	9698453	12878	3549
s325.STL.V02_1mo	6317608	15574	6290348	66483	6406723	7058	27260
s124.STL.V05_4mo	16210392	155121	16176048	116978	16501312	18821	34344
s327.STL.V01_1.4d	317025	4493	52000	1998	323783	267	265025
s235.STL.V01_1.4d	1849473	42428	20326	8910	1902409	1598	1829147
s211.STL.V02_1mo	7947844	40319	7945719	84546	8083492	10783	2125
s221.STL.V01_1.4d	3636924	55582	23559	19200	3714648	2942	3613365
s161.STL.V02_1mo	10322433	111208	10318100	64541	10510416	12234	4333
s235.STL.V05_4mo	9867399	57218	9865406	89827	10030130	15686	1993
s185.STL.V02_1mo	1324205	8851	1323462	10114	1344271	1101	743
s125.STL.V02_1mo	8481800	39530	8376509	81891	8616822	13601	105291
s252.STL.V05_4mo	9589546	65582	9585717	85401	9753774	13245	3829
s202.STL.V02_1mo	14521574	63674	14518841	148150	14762260	28862	2733
s169.STL.V02_1mo	20610136	76238	20608023	231681	20955473	37418	2113
s153.STL.V05_4mo	7223435	50618	7210407	80201	7369213	14959	13028
sNA.MockDNA.3	18070516	44912	18069249	147439	18283933	21066	1267
s307.STL.V01_1.4d	3374194	83254	75592	19191	3479503	2864	3298602
s257.STL.V01_1.4d	3759392	69292	66921	19803	3851636	3149	3692471
s127.STL.V01_1.4d	11795430	59946	11493116	83645	11956913	17892	302314
s322.STL.V05_4mo	11154185	139104	11141772	91325	11400564	15950	12413
s265.STL.V02_1mo	1151231	3387	1150641	10185	1166324	1521	590
sNA.NegativeControl.5	13481	771	9424	404	14760	104	4057
s130.STL.V05_4mo	2827229	29544	2825655	20685	2881055	3597	1574
s222.STL.V01_1.4d	3536137	30123	2024280	16845	3585629	2524	1511857
s157.STL.V05_4mo	7890386	82202	7880179	55301	8039342	11453	10207
s189.STL.V05_4mo	8110767	56596	8108962	68639	8246828	10826	1805
