SampleID	Genus	NumCoreGenes
s193.STL.V01_1.4d	Bifidobacterium Bifidobacterium dentium	25
s193.STL.V01_1.4d	Bifidobacterium Bifidobacterium scardovii	141
s193.STL.V01_1.4d	Bifidobacterium Bifidobacterium sp. MSTE12	97
s193.STL.V01_1.4d	Enterobacter Enterobacter sp. BIDMC110	16
s193.STL.V01_1.4d	Enterobacter Enterobacter sp. BIDMC93	9
s193.STL.V01_1.4d	Enterobacter Enterobacter sp. BIDMC99	2
s193.STL.V01_1.4d	Enterobacter Enterobacter sp. BWH64	8
s193.STL.V01_1.4d	Enterobacter Enterobacter sp. MGH 33	46
s193.STL.V01_1.4d	Enterobacter Enterobacter sp. MGH86	10
s193.STL.V01_1.4d	Enterobacter Enterobacter xiangfangensis	12
s193.STL.V01_1.4d	Klebsiella Klebsiella pneumoniae	10
s193.STL.V01_1.4d	Klebsiella Klebsiella sp. 4_1_44FAA	2
s193.STL.V01_1.4d	Klebsiella Klebsiella sp. AA405	1
s193.STL.V01_1.4d	Klebsiella Klebsiella sp. HMSC16A12	10
s193.STL.V01_1.4d	Klebsiella Klebsiella sp. MS 92-3	2
s193.STL.V01_1.4d	Klebsiella Klebsiella sp. S1	1
s193.STL.V01_1.4d	Lactobacillus Lactobacillus gasseri	139
s193.STL.V01_1.4d	Lactobacillus Lactobacillus salivarius	37
s193.STL.V01_1.4d	Leclercia Leclercia adecarboxylata	1
s193.STL.V01_1.4d	Pedobacter Pedobacter himalayensis	36
s193.STL.V01_1.4d	Rothia Rothia sp. HMSC062F03	4
s193.STL.V01_1.4d	Rothia Rothia sp. HMSC068F09	4
s193.STL.V01_1.4d	Rothia Rothia sp. HMSC072B03	1
s193.STL.V01_1.4d	Rothia Rothia sp. HMSC072E10	2
s193.STL.V01_1.4d	Streptococcus Streptococcus salivarius	72
s193.STL.V01_1.4d	Streptococcus Streptococcus sp. 449_SSPC	3
s193.STL.V01_1.4d	Streptococcus Streptococcus sp. ACS2	3
s193.STL.V01_1.4d	Streptococcus Streptococcus sp. C150	4
s193.STL.V01_1.4d	Streptococcus Streptococcus sp. CCH5-D3	12
s193.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC065H07	6
s193.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC068F04	3
s193.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC078H03	19
s193.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC078H12	11
s193.STL.V01_1.4d	Streptococcus Streptococcus sp. SR4	13
s193.STL.V01_1.4d	Veillonella Veillonella atypica	53
s193.STL.V01_1.4d	Veillonella Veillonella sp. 6_1_27	1
s193.STL.V01_1.4d	Veillonella Veillonella sp. ACP1	10
s193.STL.V01_1.4d	Veillonella Veillonella sp. HPA0037	70
s193.STL.V01_1.4d	Veillonella Veillonella sp. ICM51a	19
s196.STL.V01_1.4d	Staphylococcus Staphylococcus epidermidis	1
s202.STL.V01_1.4d	Enterobacter Enterobacter cloacae	24
s202.STL.V01_1.4d	Enterobacter Enterobacter cloacae complex sp. GN05729	2
s202.STL.V01_1.4d	Enterobacter Enterobacter hormaechei	9
s202.STL.V01_1.4d	Enterobacter Enterobacter sp. BIDMC100	4
s202.STL.V01_1.4d	Enterobacter Enterobacter sp. BWH52	16
s202.STL.V01_1.4d	Enterobacter Enterobacter sp. MGH119	22
s202.STL.V01_1.4d	Enterobacter Enterobacter sp. MGH128	7
s202.STL.V01_1.4d	Enterobacter Enterobacter sp. MGH 14	4
s202.STL.V01_1.4d	Enterobacter Enterobacter sp. MGH 38	12
s202.STL.V01_1.4d	Enterobacter Enterobacter sp. MGH 7	14
s202.STL.V01_1.4d	Enterobacter Enterobacter sp. ST121:950178628	24
s202.STL.V01_1.4d	Enterococcus Enterococcus faecalis	99
s202.STL.V01_1.4d	Escherichia Escherichia coli	150
s202.STL.V01_1.4d	Streptococcus Streptococcus equinus	33
s202.STL.V01_1.4d	Streptococcus Streptococcus lutetiensis	1
s202.STL.V01_1.4d	Streptococcus Streptococcus pasteurianus	106
s207.STL.V01_1.4d	Bacteroides Bacteroides sp. 4_1_36	1
s207.STL.V01_1.4d	Bacteroides Bacteroides sp. D20	1
s207.STL.V01_1.4d	Bacteroides Bacteroides uniformis	5
s207.STL.V01_1.4d	Escherichia Escherichia coli	124
s207.STL.V01_1.4d	Escherichia Escherichia sp. 3_2_53FAA	17
s208.STL.V01_1.4d	Enterobacter Enterobacter cloacae	15
s208.STL.V01_1.4d	Enterobacter Enterobacter sp. BIDMC100	8
s208.STL.V01_1.4d	Enterobacter Enterobacter sp. BIDMC94	2
s208.STL.V01_1.4d	Enterobacter Enterobacter sp. BWH 37	7
s208.STL.V01_1.4d	Enterobacter Enterobacter sp. BWH52	23
s208.STL.V01_1.4d	Enterobacter Enterobacter sp. MGH119	1
s208.STL.V01_1.4d	Enterobacter Enterobacter sp. MGH128	46
s208.STL.V01_1.4d	Enterobacter Enterobacter sp. MGH 38	4
s208.STL.V01_1.4d	Enterobacter Enterobacter sp. MGH 7	26
s208.STL.V01_1.4d	Enterobacter Enterobacter sp. ST121:950178628	8
s210.STL.V01_1.4d	Bacteroides Bacteroides dorei	5
s210.STL.V01_1.4d	Bacteroides Bacteroides sp. 3_1_40A	1
s211.STL.V01_1.4d	Escherichia Escherichia coli	139
s222.STL.V01_1.4d	Enterococcus Enterococcus faecalis	142
s222.STL.V01_1.4d	Streptococcus Streptococcus agalactiae	6
s222.STL.V01_1.4d	Streptococcus Streptococcus equinus	22
s222.STL.V01_1.4d	Streptococcus Streptococcus pasteurianus	113
s237.STL.V01_1.4d	Alistipes Alistipes finegoldii	1
s237.STL.V01_1.4d	Bacteroides Bacteroides caccae	121
s237.STL.V01_1.4d	Bacteroides Bacteroides massiliensis	108
s237.STL.V01_1.4d	Bacteroides Bacteroides oleiciplenus	1
s237.STL.V01_1.4d	Bacteroides Bacteroides ovatus	3
s237.STL.V01_1.4d	Bacteroides Bacteroides sp. 1_1_30	2
s237.STL.V01_1.4d	Bacteroides Bacteroides sp. 2_2_4	1
s237.STL.V01_1.4d	Bacteroides Bacteroides sp. 3_1_13	6
s237.STL.V01_1.4d	Bacteroides Bacteroides sp. 3_1_19	1
s237.STL.V01_1.4d	Bacteroides Bacteroides sp. 3_1_40A	42
s237.STL.V01_1.4d	Bacteroides Bacteroides sp. 4_3_47FAA	6
s237.STL.V01_1.4d	Bacteroides Bacteroides sp. D22	2
s237.STL.V01_1.4d	Bacteroides Bacteroides sp. HMSC073E02	1
s237.STL.V01_1.4d	Bacteroides Bacteroides vulgatus	95
s237.STL.V01_1.4d	Bacteroides Bacteroides xylanisolvens	14
s237.STL.V01_1.4d	Barnesiella Barnesiella intestinihominis	26
s237.STL.V01_1.4d	Bifidobacterium Bifidobacterium breve	139
s237.STL.V01_1.4d	Bilophila Bilophila sp. 4_1_30	4
s237.STL.V01_1.4d	Bilophila Bilophila wadsworthia	133
s237.STL.V01_1.4d	Enterobacter Enterobacter asburiae	2
s237.STL.V01_1.4d	Enterobacter Enterobacter cloacae	12
s237.STL.V01_1.4d	Enterobacter Enterobacter cloacae complex 'Hoffmann cluster III'	65
s237.STL.V01_1.4d	Enterobacter Enterobacter cloacae complex sp. GN04363	2
s237.STL.V01_1.4d	Enterobacter Enterobacter hormaechei	3
s237.STL.V01_1.4d	Enterococcus Enterococcus faecalis	135
s237.STL.V01_1.4d	Enterococcus Enterococcus sp. 1140_ESPC	3
s237.STL.V01_1.4d	Klebsiella Klebsiella michiganensis	2
s237.STL.V01_1.4d	Klebsiella Klebsiella oxytoca	1
s237.STL.V01_1.4d	Klebsiella Klebsiella sp. AS10	2
s237.STL.V01_1.4d	Klebsiella Klebsiella sp. OBRC7	5
s237.STL.V01_1.4d	Lactobacillus Lactobacillus vaginalis	9
s237.STL.V01_1.4d	Parabacteroides Parabacteroides distasonis	27
s237.STL.V01_1.4d	Parabacteroides Parabacteroides merdae	145
s237.STL.V01_1.4d	Parabacteroides Parabacteroides sp. 2_1_7	11
s237.STL.V01_1.4d	Parabacteroides Parabacteroides sp. D13	2
s237.STL.V01_1.4d	Parabacteroides Parabacteroides sp. D25	103
s237.STL.V01_1.4d	Parabacteroides Parabacteroides sp. SN4	1
s237.STL.V01_1.4d	Pedobacter Pedobacter himalayensis	1
s237.STL.V01_1.4d	Proteus Proteus sp. HMSC10D02	8
s237.STL.V01_1.4d	Staphylococcus Staphylococcus epidermidis	14
s237.STL.V01_1.4d	Streptococcus Streptococcus parasanguinis	16
s237.STL.V01_1.4d	Streptococcus Streptococcus pneumoniae	1
s237.STL.V01_1.4d	Streptococcus Streptococcus salivarius	12
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. 1004_SSPC	27
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. ACS2	4
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. CCH5-D3	1
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. CCH8-H5	1
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC057G03	3
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC061E03	15
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC064D12	2
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC065C01	3
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC065E03	3
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC065H07	2
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC072C09	2
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC072D03	1
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC072G04	2
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC073D05	5
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC074F05	5
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC076C09	2
